Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
3 Piece French Toast Sticks,350,12,2,0,0,220,57,1,27,4
5 Piece French Toast Sticks,520,19,4,0,0,350,79,2,33,6
"Bacon, Egg, & Cheese Biscuit",450,30,14,1,235,1580,33,1,4,17
"Bacon, Egg, & Cheese Croissan'wich",410,25,12,1,260,1030,31,1,5,18
"Bacon, Sausage, Egg, & Cheese Biscuit",710,53,24,1,290,2390,35,1,4,29
"Bacon, Sausage, Egg, & Cheese Croissan'wich",670,48,22,1,315,1840,33,1,6,29
Breakfast Burrito Jr.,460,30,11,1,245,1290,30,2,3,18
"Double Sausage, Egg, & Cheese Biscuit",850,66,29,2,320,2530,34,1,4,33
"Double Sausage, Egg, & Cheese Croissan'wich",880,66,29,2.5,550,2200,33,1,5,39
Egg & Cheese Biscuit,410,27,13,0.5,225,1410,33,1,4,14
Egg & Cheese Croissan'wich,370,22,11,1,250,870,31,1,5,15
Egg-Normous Burrito,830,46,17,1.5,450,2060,69,4,4,35
Fully Loaded Biscuit,640,44,20,1,285,2340,34,1,4,31
Fully Loaded Croissan'wich,710,49,22,1,330,2240,34,1,6,35
"Ham, Egg, & Cheese Biscuit",450,27,13,1,245,1820,34,1,4,21
"Ham, Egg, & Cheese Croissan'wich",410,23,11,1,265,1270,32,1,6,21
"Hash Browns, Large",740,48,9,0,0,2040,75,6,1,6
"Hash Browns, Medium",540,34,7,0,0,1480,54,5,0,4
"Hash Browns, Small",290,19,3.5,0,0,840,29,2,0,2
Pancake & Sausage Platter,620,29,9,0,75,1080,79,1,36,13
Pancake Platter,440,12,3,0,40,640,79,1,36,5
"Sausage, Egg, & Cheese Biscuit",590,43,19,1,260,1790,33,1,4,22
"Sausage, Egg, & Cheese Croissan'wich",550,38,17,1,285,1240,31,1,5,22
Sausage Biscuit,430,30,13,0,35,1150,30,1,2,11
Bacon Cheeseburger,340,16,7,0,45,940,31,1,7,18
Bacon Double Cheeseburger,440,24,11,0.5,75,970,32,1,8,27
Bacon King,"1,200",81,32,2,215,2270,58,3,16,66
BBQ Bacon Whopper Jr.,390,24,7,0,50,730,33,2,9,18
Cheeseburger,290,13,6,0,40,780,31,1,7,15
Double Cheeseburger,400,21,9,0.5,70,810,32,1,8,24
Double Whopper,920,60,20,0.5,150,1240,54,3,14,53
Double Whopper with Bacon,"1,010",68,21,1.5,175,1500,56,3,14,59
Double Whopper with Bacon & Cheese,"1,090",75,25,2,195,1830,59,3,15,62
Double Whopper with Cheese,"1,040",70,24,2,180,1580,58,3,15,58
Hamburger,250,10,4,0,30,560,29,1,7,13
