Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size,Protein Calories,Fat Calories,Sugar Calories,Calculated Total Calories,Calorie Difference,Percentage Difference
"Bacon, Egg & Cheese Biscuit",420.0,23.0,11.0,0.0,180.0,1220,38,2.0,4.0,15,Chick-Fil-A,3.571428571428571,['Breakfast'],N/A,60,207.0,16.0,283.0,-137.0,-0.3261904761904762
"Bacon, Egg & Cheese Muffin",300.0,13.0,6.0,0.0,180.0,780,28,1.0,2.0,16,Chick-Fil-A,5.333333333333334,['Breakfast'],N/A,64,117.0,8.0,189.0,-111.0,-0.37
Berry Parfait with Cookie Crumbs,240.0,8.0,3.5,0.0,20.0,85,31,1.0,25.0,12,Chick-Fil-A,5.0,['Dessert'],N/A,48,72.0,100.0,220.0,-20.0,-0.08333333333333333
Berry Parfait with Granola,270.0,9.0,3.5,0.0,20.0,85,35,1.0,26.0,13,Chick-Fil-A,4.814814814814815,['Other'],N/A,52,81.0,104.0,237.0,-33.0,-0.12222222222222222
Buttery Biscuit,290.0,15.0,6.0,0.0,0.0,760,37,2.0,4.0,4,Chick-Fil-A,1.3793103448275863,['Other'],N/A,16,135.0,16.0,167.0,-123.0,-0.4241379310344828
"Chick-fil-A Chick-n-Minis, 4 ct",360.0,13.0,4.0,0.0,60.0,1060,41,2.0,8.0,20,Chick-Fil-A,5.555555555555555,['Chicken'],N/A,80,117.0,32.0,229.0,-131.0,-0.3638888888888889
"Chick-fil-A Chick-n-Minis, 10 ct",910.0,34.0,10.0,0.0,150.0,2640,103,6.0,19.0,49,Chick-Fil-A,5.384615384615385,"['Chicken', 'Combo']",N/A,196,306.0,76.0,578.0,-332.0,-0.3648351648351648
"Chick-fil-A Chick-n-Minis Football-Shaped Tray, 10 ct",910.0,34.0,10.0,0.0,150.0,2640,103,6.0,19.0,49,Chick-Fil-A,5.384615384615385,"['Chicken', 'Side', 'Combo']",N/A,196,306.0,76.0,578.0,-332.0,-0.3648351648351648
Chick-fil-A Chicken Biscuit,460.0,23.0,8.0,0.0,45.0,1510,45,2.0,6.0,19,Chick-Fil-A,4.130434782608695,['Chicken'],N/A,76,207.0,24.0,307.0,-153.0,-0.33260869565217394
"Chicken, Egg & Cheese Biscuit",550.0,28.0,12.0,0.0,215.0,1870,48,3.0,7.0,27,Chick-Fil-A,4.909090909090909,"['Chicken', 'Breakfast']",N/A,108,252.0,28.0,388.0,-162.0,-0.29454545454545455
"Chicken, Egg & Cheese Muffin",410.0,18.0,6.0,0.0,215.0,1320,36,1.0,4.0,27,Chick-Fil-A,6.585365853658537,"['Chicken', 'Breakfast']",N/A,108,162.0,16.0,286.0,-124.0,-0.3024390243902439
Egg White Grill,300.0,8.0,4.0,0.0,65.0,990,29,1.0,2.0,27,Chick-Fil-A,9.0,['Breakfast'],N/A,108,72.0,8.0,188.0,-112.0,-0.37333333333333335
English Muffin,140.0,1.0,0.0,0.0,0.0,190,27,1.0,1.0,5,Chick-Fil-A,3.571428571428571,['Other'],N/A,20,9.0,4.0,33.0,-107.0,-0.7642857142857142
"Fruit Cup, Large",120.0,0.0,0.0,0.0,0.0,0,28,4.0,21.0,1,Chick-Fil-A,0.8333333333333334,['Other'],Large,4,0.0,84.0,88.0,-32.0,-0.26666666666666666
"Fruit Cup, Medium",70.0,0.0,0.0,0.0,0.0,0,16,2.0,12.0,1,Chick-Fil-A,1.4285714285714286,['Other'],Medium,4,0.0,48.0,52.0,-18.0,-0.2571428571428571
"Fruit Cup, Small",60.0,0.0,0.0,0.0,0.0,0,14,2.0,11.0,1,Chick-Fil-A,1.6666666666666667,['Other'],Small,4,0.0,44.0,48.0,-12.0,-0.2
"Hash Browns, Large",420.0,29.0,4.0,0.0,0.0,700,35,4.0,0.0,4,Chick-Fil-A,0.9523809523809524,['Breakfast'],Large,16,261.0,0.0,277.0,-143.0,-0.3404761904761905
"Hash Browns, Small",270.0,18.0,2.5,0.0,0.0,440,23,3.0,0.0,3,Chick-Fil-A,1.1111111111111112,['Breakfast'],Small,12,162.0,0.0,174.0,-96.0,-0.35555555555555557
Hash Brown Scramble Bowl with Bacon,450.0,32.0,11.0,0.0,395.0,1060,15,2.0,2.0,23,Chick-Fil-A,5.111111111111112,"['Breakfast', 'Combo']",N/A,92,288.0,8.0,388.0,-62.0,-0.13777777777777778
"Hash Brown Scramble Bowl with Bacon, No Hash Browns",300.0,22.0,10.0,0.0,395.0,810,2,0.0,2.0,22,Chick-Fil-A,7.333333333333333,"['Breakfast', 'Combo']",N/A,88,198.0,8.0,294.0,-6.0,-0.02
Hash Brown Scramble Bowl with Grilled Filet,420.0,26.0,8.0,0.0,420.0,1230,15,2.0,2.0,31,Chick-Fil-A,7.380952380952381,"['Chicken', 'Breakfast', 'Combo']",N/A,124,234.0,8.0,366.0,-54.0,-0.12857142857142856
"Hash Brown Scramble Bowl with Grilled Filet, No Hash Browns",270.0,16.0,7.0,0.0,420.0,980,2,1.0,2.0,30,Chick-Fil-A,11.11111111111111,"['Chicken', 'Breakfast', 'Combo']",N/A,120,144.0,8.0,272.0,2.0,0.007407407407407408
Hash Brown Scramble Bowl with No Meat,350.0,24.0,8.0,0.0,330.0,770,16,3.0,1.0,17,Chick-Fil-A,4.857142857142857,"['Breakfast', 'Combo']",N/A,68,216.0,4.0,288.0,-62.0,-0.17714285714285713
"Hash Brown Scramble Bowl with No Meat, No Hash Browns",200.0,14.0,6.0,0.0,330.0,530,3,2.0,1.0,16,Chick-Fil-A,8.0,"['Breakfast', 'Combo']",N/A,64,126.0,4.0,194.0,-6.0,-0.03
Hash Brown Scramble Bowl with Nuggets,470.0,30.0,9.0,0.0,415.0,1350,19,2.0,2.0,29,Chick-Fil-A,6.170212765957447,"['Chicken', 'Breakfast', 'Combo']",N/A,116,270.0,8.0,394.0,-76.0,-0.16170212765957448
"Hash Brown Scramble Bowl with Nuggets, No Hash Browns",320.0,20.0,8.0,0.0,415.0,1100,7,0.0,2.0,28,Chick-Fil-A,8.75,"['Chicken', 'Breakfast', 'Combo']",N/A,112,180.0,8.0,300.0,-20.0,-0.0625
Hash Brown Scramble Bowl with Sausage,480.0,37.0,12.0,0.0,395.0,1020,15,2.0,1.0,23,Chick-Fil-A,4.791666666666667,"['Breakfast', 'Combo']",N/A,92,333.0,4.0,429.0,-51.0,-0.10625
"Hash Brown Scramble Bowl with Sausage, No Hash Browns",340.0,27.0,11.0,0.0,395.0,780,2,0.0,1.0,21,Chick-Fil-A,6.176470588235294,"['Breakfast', 'Combo']",N/A,84,243.0,4.0,331.0,-9.0,-0.026470588235294117
Hash Brown Scramble Bowl with Spicy Chicken,490.0,32.0,9.0,0.0,410.0,1470,22,2.0,2.0,28,Chick-Fil-A,5.714285714285714,"['Chicken', 'Breakfast', 'Combo']",N/A,112,288.0,8.0,408.0,-82.0,-0.1673469387755102
"Hash Brown Scramble Bowl with Spicy Chicken, No Hash Browns",340.0,21.0,8.0,0.0,410.0,1230,10,1.0,2.0,27,Chick-Fil-A,7.941176470588235,"['Chicken', 'Breakfast', 'Combo']",N/A,108,189.0,8.0,305.0,-35.0,-0.10294117647058823
Hash Brown Scramble Burrito with Bacon,680.0,42.0,14.0,0.5,395.0,1630,46,3.0,2.0,30,Chick-Fil-A,4.411764705882353,['Breakfast'],N/A,120,378.0,8.0,506.0,-174.0,-0.25588235294117645
"Hash Brown Scramble Burrito with Bacon, No Hash Browns",540.0,32.0,13.0,0.5,395.0,1230,34,2.0,2.0,27,Chick-Fil-A,5.0,['Breakfast'],N/A,108,288.0,8.0,404.0,-136.0,-0.2518518518518518
Hash Brown Scramble Burrito with Grilled Filet,650.0,36.0,12.0,0.5,420.0,1650,46,3.0,2.0,36,Chick-Fil-A,5.538461538461538,"['Chicken', 'Breakfast']",N/A,144,324.0,8.0,476.0,-174.0,-0.2676923076923077
"Hash Brown Scramble Burrito with Grilled Filet, No Hash Brown",500.0,26.0,10.0,0.5,420.0,1410,34,2.0,2.0,35,Chick-Fil-A,7.000000000000001,"['Chicken', 'Breakfast']",N/A,140,234.0,8.0,382.0,-118.0,-0.236
Hash Brown Scramble Burrito with No Meat,580.0,34.0,11.0,0.5,330.0,1200,47,5.0,1.0,22,Chick-Fil-A,3.793103448275862,['Breakfast'],N/A,88,306.0,4.0,398.0,-182.0,-0.3137931034482759
"Hash Brown Scramble Burrito with No Meat, No Hash Browns",440.0,24.0,10.0,0.5,330.0,950,35,3.0,1.0,21,Chick-Fil-A,4.772727272727273,['Breakfast'],N/A,84,216.0,4.0,304.0,-136.0,-0.3090909090909091
Hash Brown Scramble Burrito with Nuggets,700.0,40.0,12.0,0.5,415.0,1770,51,3.0,2.0,34,Chick-Fil-A,4.857142857142857,"['Chicken', 'Breakfast']",N/A,136,360.0,8.0,504.0,-196.0,-0.28
"Hash Brown Scramble Burrito with Nuggets, No Hash Browns",550.0,30.0,11.0,0.5,415.0,1530,38,2.0,2.0,33,Chick-Fil-A,6.0,"['Chicken', 'Breakfast']",N/A,132,270.0,8.0,410.0,-140.0,-0.2545454545454545
Hash Brown Scramble Burrito with Sausage,720.0,47.0,16.0,0.5,395.0,1450,46,3.0,1.0,28,Chick-Fil-A,3.888888888888889,['Breakfast'],N/A,112,423.0,4.0,539.0,-181.0,-0.2513888888888889
