Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
"Bacon, Egg & Cheese Biscuit",420.0,23.0,11.0,0.0,180.0,1220.0,38.0,2.0,4.0,15,Chick-Fil-A,3.571428571428571,['Breakfast'],N/A
"Bacon, Egg & Cheese Muffin",300.0,13.0,6.0,0.0,180.0,780.0,28.0,1.0,2.0,16,Chick-Fil-A,5.333333333333334,['Breakfast'],N/A
Berry Parfait with Cookie Crumbs,240.0,8.0,3.5,0.0,20.0,85.0,31.0,1.0,25.0,12,Chick-Fil-A,5.0,['Dessert'],N/A
Berry Parfait with Granola,270.0,9.0,3.5,0.0,20.0,85.0,35.0,1.0,26.0,13,Chick-Fil-A,4.814814814814815,['Other'],N/A
Buttery Biscuit,290.0,15.0,6.0,0.0,0.0,760.0,37.0,2.0,4.0,4,Chick-Fil-A,1.3793103448275863,['Other'],N/A
"Chick-fil-A Chick-n-Minis, 4 ct",360.0,13.0,4.0,0.0,60.0,1060.0,41.0,2.0,8.0,20,Chick-Fil-A,5.555555555555555,['Chicken'],N/A
"Chick-fil-A Chick-n-Minis, 10 ct",910.0,34.0,10.0,0.0,150.0,2640.0,103.0,6.0,19.0,49,Chick-Fil-A,5.384615384615385,"['Chicken', 'Combo']",N/A
"Chick-fil-A Chick-n-Minis Football-Shaped Tray, 10 ct",910.0,34.0,10.0,0.0,150.0,2640.0,103.0,6.0,19.0,49,Chick-Fil-A,5.384615384615385,"['Chicken', 'Side', 'Combo']",N/A
Chick-fil-A Chicken Biscuit,460.0,23.0,8.0,0.0,45.0,1510.0,45.0,2.0,6.0,19,Chick-Fil-A,4.130434782608695,['Chicken'],N/A
"Chicken, Egg & Cheese Biscuit",550.0,28.0,12.0,0.0,215.0,1870.0,48.0,3.0,7.0,27,Chick-Fil-A,4.909090909090909,"['Chicken', 'Breakfast']",N/A
"Chicken, Egg & Cheese Muffin",410.0,18.0,6.0,0.0,215.0,1320.0,36.0,1.0,4.0,27,Chick-Fil-A,6.585365853658537,"['Chicken', 'Breakfast']",N/A
Egg White Grill,300.0,8.0,4.0,0.0,65.0,990.0,29.0,1.0,2.0,27,Chick-Fil-A,9.0,['Breakfast'],N/A
English Muffin,140.0,1.0,0.0,0.0,0.0,190.0,27.0,1.0,1.0,5,Chick-Fil-A,3.571428571428571,['Other'],N/A
"Fruit Cup, Large",120.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,21.0,1,Chick-Fil-A,0.8333333333333334,['Other'],Large
"Fruit Cup, Medium",70.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,12.0,1,Chick-Fil-A,1.4285714285714286,['Other'],Medium
"Fruit Cup, Small",60.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,11.0,1,Chick-Fil-A,1.6666666666666667,['Other'],Small
"Hash Browns, Large",420.0,29.0,4.0,0.0,0.0,700.0,35.0,4.0,0.0,4,Chick-Fil-A,0.9523809523809524,['Breakfast'],Large
"Hash Browns, Small",270.0,18.0,2.5,0.0,0.0,440.0,23.0,3.0,0.0,3,Chick-Fil-A,1.1111111111111112,['Breakfast'],Small
Hash Brown Scramble Bowl with Bacon,450.0,32.0,11.0,0.0,395.0,1060.0,15.0,2.0,2.0,23,Chick-Fil-A,5.111111111111112,"['Breakfast', 'Combo']",N/A
"Hash Brown Scramble Bowl with Bacon, No Hash Browns",300.0,22.0,10.0,0.0,395.0,810.0,2.0,0.0,2.0,22,Chick-Fil-A,7.333333333333333,"['Breakfast', 'Combo']",N/A
Hash Brown Scramble Bowl with Grilled Filet,420.0,26.0,8.0,0.0,420.0,1230.0,15.0,2.0,2.0,31,Chick-Fil-A,7.380952380952381,"['Chicken', 'Breakfast', 'Combo']",N/A
"Hash Brown Scramble Bowl with Grilled Filet, No Hash Browns",270.0,16.0,7.0,0.0,420.0,980.0,2.0,1.0,2.0,30,Chick-Fil-A,11.11111111111111,"['Chicken', 'Breakfast', 'Combo']",N/A
Hash Brown Scramble Bowl with No Meat,350.0,24.0,8.0,0.0,330.0,770.0,16.0,3.0,1.0,17,Chick-Fil-A,4.857142857142857,"['Breakfast', 'Combo']",N/A
"Hash Brown Scramble Bowl with No Meat, No Hash Browns",200.0,14.0,6.0,0.0,330.0,530.0,3.0,2.0,1.0,16,Chick-Fil-A,8.0,"['Breakfast', 'Combo']",N/A
