Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Apple Pie Poppers,80,5,1.5,0,0,55,9,1,3,1
Cherry Pie Poppers,70,4.5,0,0,0,40,7,0,2,1
KFC Chicken Sandwich - Chipotle Ranch,670,38,5,0,90,1330,49,1,7,34
KFC Chicken Sandwich - Honey BBQ,600,26,3,0,80,1330,58,1,15,34
KFC Chicken Sandwich - Honey Garlic,610,26,3,0,80,1370,61,1,16,34
KFC Chicken Sandwich - Korean BBQ,620,27,3,0,80,1580,61,1,17,34
KFC Chicken Sandwich - Mango Habanero,590,26,3,0,80,1330,56,1,13,34
KFC Saucy Nuggets - Chipotle Ranch (1),50,4,0.5,0,15,160,1,0,0,4
KFC Saucy Nuggets - Honey BBQ (1),45,1.5,0,0,15,170,4,0,2,4
KFC Saucy Nuggets - Honey Garlic (1),40,1.5,0,0,15,160,3,0,1,4
KFC Saucy Nuggets - Korean BBQ (1),45,1.5,0,0,15,210,4,0,2,4
KFC Saucy Nuggets - Mango Habanero (1),40,1.5,0,0,15,170,3,0,1,4
Korean BBQ Loaded Fries Bowl,770,39,7,0,80,2640,76,8,23,27
Korean BBQ Mac & Cheese Bowl,530,23,6,0,85,2250,52,2,12,30
Mac & Cheese Bowl,480,22,6,0,85,1970,42,2,4,30
Nashville Hot Loaded Fries Bowl,910,60,11,0,80,2530,63,8,12,26
Nashville Hot Mac & Cheese Bowl,610,36,8,0,85,2180,44,3,5,30
Nashville Hot Mashed Potato Bowl,680,34,8,0,75,2230,66,5,3,29
Nashville Hot OR Tender (1),280,17,2.5,0,30,580,21,0,<1,11
Original Recipe® Chicken Breast,390,21,4,0,120,1190,11,2,0,39
Original Recipe® Chicken Drumstick,130,8,1.5,0,55,430,4,1,0,12
Original Recipe® Chicken Thigh,280,19,4.5,0,100,910,8,1,0,19
Original Recipe® Chicken Whole Wing,130,8,2,0,55,380,3,0,0,10
Extra Crispy™ Chicken Breast,530,35,6,0,105,1150,18,0,0,35
Extra Crispy™ Chicken Drumstick,170,12,2,0,50,390,5,0,0,10
Extra Crispy™ Chicken Thigh,330,23,4.5,0,100,700,9,0,0,22
Extra Crispy™ Chicken Whole Wing,170,13,2,0,45,340,5,0,0,10
Kentucky Grilled Chicken® Breast,210,7,2,0,130,710,0,0,0,38
Kentucky Grilled Chicken® Drumstick,80,4,1,0,55,220,0,0,0,11
Kentucky Grilled Chicken® Thigh,150,9,3,0,90,420,0,0,0,17
Kentucky Grilled Chicken® Whole Wing,70,3,1,0,45,180,0,0,0,9
Spicy Crispy Chicken Breast,350,20,3.5,0,100,1100,11,1,0,30
Spicy Crispy Chicken Drumstick,130,8,1.5,0,40,420,5,1,0,9
Spicy Crispy Chicken Thigh,270,20,3.5,0,65,720,10,1,0,13
Spicy Crispy Chicken Whole Wing,120,8,1.5,0,35,350,5,0,0,7
NEW! Original Recipe® Tender (each),170,6,0.5,0,30,400,20,0,0,11
Kentucky Fried Nuggets (1),35,1.5,0,0,15,140,1,0,0,3
BBQ Baked Beans,190,1,0,0,0,650,34,7,15,11
Biscuit,180,8,4.5,0,0,520,22,1,1,4
Coleslaw,170,12,2,0,<5,180,14,4,10,1
Corn on the Cob,70,0.5,0,0,0,0,17,2,3,2
Green Beans,25,0,0,0,0,300,5,3,1,1
KFC® Cornbread Muffin,210,9,1.5,0,35,240,28,<1,11,3
Macaroni & Cheese,140,6,1.5,0,<5,590,17,1,2,5
Mashed Potatoes,110,3.5,0.5,0,0,330,17,1,0,2
Mashed Potatoes With Gravy,130,4.5,1,0,0,520,20,1,0,3
Secret Recipe Fries,320,15,2,0,0,1100,41,3,0,5
Sweet Kernel Corn,70,0.5,0,0,0,0,16,2,2,2
BBQ Baked Beans (Family),830,5,1,0,0,2810,148,31,63,47
Coleslaw (Family),640,46,7,0,15,670,54,14,37,4
Corn on the Cob (Family),280,2,0,0,0,15,67,8,11,9
Green Beans (Family),80,0,0,0,0,930,15,9,3,4
Macaroni & Cheese (Family),540,23,6,0,10,2220,66,5,8,18
Mashed Potatoes (Family),460,15,3,0,0,1410,72,6,0,9
Mashed Potatoes With Gravy (Family),590,21,5,0,0,2590,88,6,1,12
