Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
"Bacon, Egg & Cheese Biscuit",460,26,13,0,215,1330,39,2,3,1
"Bacon, Egg & Cheese McGriddles",430,21,9,0,215,1230,44,2,15,13
Big Breakfast,760,48,18,0,485,1530,57,3,3,1
Big Breakfast with Hotcakes,"1,340",63,24,0.5,525,2070,158,5,48,41
Egg McMuffin,310,13,6,0,250,770,30,2,3,1
Fruit & Maple Oatmeal,320,4.5,1.5,0,<5,150,64,4,31,18
Hash Browns,140,8,1,0,0,310,18,2,0,0
Hotcakes,580,15,6,0,40,530,101,2,45,40
Hotcakes and Sausage,770,33,12,0,75,810,102,2,46,40
"Sausage, Egg & Cheese McGriddles",550,33,13,0,235,1290,44,2,15,13
Sausage Biscuit,460,30,13,0,35,1090,37,2,2,1
Sausage Biscuit with Egg,530,35,15,0,225,1190,38,2,3,1
Sausage Burrito,310,17,7,0,170,800,25,1,2,1
Sausage McGriddles,430,24,9,0,35,990,41,2,14,13
Sausage McMuffin,400,26,10,0.5,55,760,29,2,2,1
Sausage McMuffin with Egg,480,31,12,0.5,280,830,30,2,2,1
Big Mac,590,34,11,1,85,1050,46,3,9,7
Cheeseburger,300,13,6,0.5,40,720,32,2,7,5
Double Cheeseburger,450,24,11,1.5,85,1120,34,2,7,5
Double Quarter Pounder with Cheese,740,42,20,2.5,165,1360,43,2,10,8
Hamburger,250,9,3.5,0,30,510,31,1,6,5
McDouble,400,20,9,1,70,920,33,2,7,5
Quarter Pounder with Cheese,520,26,12,1.5,95,1140,42,2,10,8
Quarter Pounder with Cheese Bacon,630,35,15,1.5,115,1470,43,3,10,8
Quarter Pounder with Cheese Deluxe,630,37,14,1.5,105,1210,44,3,11,8
Deluxe McCrispy,530,26,4,0,65,1050,48,2,10,7
Filet-O-Fish,390,19,4,0,30,580,39,2,5,4
McChicken,400,21,3.5,0,40,560,39,1,5,4
McCrispy,470,20,5,0,70,1140,46,1,9,7
Spicy Deluxe McCrispy,530,26,4,0,65,1200,49,2,10,8
Spicy McCrispy,530,26,4,0,65,1320,48,2,9,8
"Chicken McNuggets, 4 Piece",170,10,1.5,0,25,330,10,0,0,0
"Chicken McNuggets, 6 Piece",250,15,2.5,0,40,500,15,1,0,0
"Chicken McNuggets, 10 Piece",410,24,4,0,65,850,26,1,0,0
"Chicken McNuggets, 20 Piece",830,49,8,0,130,1670,51,2,0,0
"Chicken McNuggets, 40 Piece","1,660",99,16,0.5,255,3350,102,4,0,0
Apple Slices,15,0,0,0,0,0,4,0,3,0
Creamy Ranch Sauce,110,12,2,0,<5,160,1,0,1,0
Honey,50,0,0,0,0,0,12,0,11,11
Honey Mustard Sauce,60,3.5,0.5,0,<5,125,6,1,4,4
Ketchup Packet,10,0,0,0,0,90,2,0,2,2
Mayonnaise Packet,90,10,1.5,0,10,60,0,0,0,0
Mustard Packet,0,0,0,0,0,70,0,0,0,0
Savory Chili WcDonald's Sauce (Limited Time),50,0,0,0,0,260,11,0,9,9
Spicy Buffalo Sauce,30,3,0,0,0,520,1,0,0,0
Sweet 'N Sour Sauce,50,0,0,0,0,160,11,0,10,9
Tangy BBQ Sauce,45,0,0,0,0,260,11,0,9,9
"World Famous Fries, Kids",110,5,0.5,0,0,90,15,1,0,0
"World Famous Fries, Large",480,23,3,0,0,400,65,6,0,0
"World Famous Fries, Medium",320,15,2,0,0,260,43,4,0,0
"World Famous Fries, Small",230,11,1.5,0,0,190,31,3,0,0
4 Piece Chicken McNuggets Happy Meal,400,17,3.5,0,35,500,41,1,14,0
6 Piece Chicken McNuggets Happy Meal,480,22,4.5,0,50,670,46,2,14,0
Hamburger Happy Meal,480,16,6,0,40,680,62,2,20,5
"Americano, Large",5,0,0,0,0,15,1,0,0,0
"Americano, Medium",0,0,0,0,0,15,1,0,0,0
"Americano, Small",0,0,0,0,0,10,0,0,0,0
"Cappuccino, Large",210,10,6,0,40,130,18,0,14,0
"Cappuccino, Medium",160,7,4.5,0,30,100,14,0,11,0
"Cappuccino, Small",110,5,3.5,0,20,75,10,0,8,0
"Caramel Cappuccino, Large",340,8,5,0,35,460,55,0,49,36
"Caramel Cappuccino, Medium",260,6,3.5,0,25,370,44,0,39,30
"Caramel Cappuccino, Small",210,4.5,3,0,20,290,35,0,31,24
"Caramel Frappe, Large",350,26,17,1,80,115,94,1,84,70
"Caramel Frappe, Medium",490,20,13,1,60,90,70,1,62,52
"Caramel Frappe, Small",420,17,11,0.5,55,80,60,1,53,44
"Caramel Latte, Large",390,11,6,0,45,490,60,0,53,36
"Caramel Latte, Medium",320,8,5,0,35,410,50,0,43,30
"Caramel Latte, Small",250,7,4,0,25,320,39,0,34,24
"Caramel Macchiato, Large",400,10,6,0,40,490,60,0,53,38
"Caramel Macchiato, Medium",320,8,5,0,30,400,51,0,44,32
"Caramel Macchiato, Small",260,6,4,0,25,320,41,0,35,26
"French Vanilla Cappuccino, Large",340,8,5,0,30,115,58,0,43,31
"French Vanilla Cappuccino, Medium",260,6,3.5,0,25,80,47,0,34,25
"French Vanilla Cappuccino, Small",210,4.5,3,0,20,65,37,0,28,20
"French Vanilla Latte, Large",390,11,6,0,40,150,60,0,45,29
"French Vanilla Latte, Medium",310,8,5,0,35,115,50,0,37,24
"French Vanilla Latte, Small",250,6,4,0,25,90,39,0,29,19
"Iced Caramel Coffee, Large",270,9,6,0,35,440,46,0,39,35
"Iced Caramel Coffee, Medium",190,7,4.5,0,25,300,31,0,26,23
"Iced Caramel Coffee, Small",140,5,3.5,0,20,220,23,0,20,18
"Iced Caramel Latte, Large",330,8,4.5,0,30,460,55,0,48,36
"Iced Caramel Latte, Medium",220,5,3,0,20,300,36,0,32,24
"Iced Caramel Latte, Small",180,4.5,2.5,0,20,240,29,0,25,18
"Iced Caramel Macchiato, Large",360,9,5,0,35,480,59,0,51,38
"Iced Caramel Macchiato, Medium",240,6,3.5,0,25,320,41,0,35,26
"Iced Caramel Macchiato, Small",200,5,3,0,20,250,33,0,28,20
"Iced Coffee, Large",260,9,6,0,35,90,45,0,42,39
"Iced Coffee, Medium",190,6,4,0,20,50,32,0,25,23
"Iced Coffee, Small",140,5,3.5,0,20,50,24,0,22,20
"Iced French Vanilla Coffee, Large",280,8,5,0,30,65,49,0,33,31
"Iced French Vanilla Coffee, Medium",200,6,4,0,20,50,33,0,22,20
"Iced French Vanilla Coffee, Small",150,5,3,0,15,35,25,0,17,15
"Iced French Vanilla Latte, Large",330,8,4.5,0,30,115,57,0,42,31
"Iced French Vanilla Latte, Medium",220,5,3,0,20,75,38,0,28,20
"Iced French Vanilla Latte, Small",180,4.5,2.5,0,20,65,30,0,22,15
"Iced Latte, Large",170,8,5,0,30,115,15,0,12,0
"Iced Latte, Medium",120,6,3.5,0,20,90,10,0,9,0
"Iced Latte, Small",90,4.5,2.5,0,15,65,7,0,7,0
"Iced Mocha, Large",450,15,9,0,45,180,69,2,62,55
"Iced Mocha, Medium",320,11,7,0,35,125,48,2,43,35
"Iced Mocha, Small",280,10,6,0,35,110,39,1,35,25
