Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
"6"" #1 The Philly",510,25,9,1,85,1320,43,2,5,28
"6"" #2 The Outlaw",490,22,9,1,90,1440,44,2,5,30
"6"" #6 The Boss",690,38,16,1,85,1860,56,4,7,33
"6"" #10 All-American Club",540,28,10,1,75,1520,45,3,6,27
"6"" #11 Subway Club",500,24,8,1,75,1520,43,4,8,31
"6"" #15 Titan Turkey",500,23,7,1,65,1300,42,3,5,30
"6"" #16 All-Pro Sweet Onion Teriyaki",430,11,5,0,70,1250,56,4,20,29
"6"" #17 Garlic Roast Beef",490,21,8,0,65,1210,45,2,6,30
"6"" #18 Ultimate B.M.T.",560,30,12,1,75,1580,45,3,5,27
"6"" #20 Elite Chicken & Bacon Ranch",580,29,10,0,105,1230,44,3,5,35
"6"" #21 Honey Mustard BBQ Chicken",510,20,8,0,85,1350,53,3,13,30
"6"" #22 Spicy Nacho Chicken on Ghost Pepper Bread",480,19,5,0,70,1630,51,3,6,26
"6"" #22 Spicy Nacho Chicken on Italian Bread",440,17,4,0,65,1280,49,3,5,24
"6"" #23 Hotshot Italiano",630,38,14,1,85,1750,45,3,5,26
"6"" #24 Firey Meatball on Ghost Pepper Bread",670,37,15,0,80,2320,57,5,9,28
"6"" #30 The Beast",740,44,14,1,115,2080,47,3,7,40
"6"" #31 Cheesy Garlic Steak",510,23,6,0,70,1190,49,3,5,26
"6"" #34 Spicy Nacho Steak on Ghost Pepper Bread",500,20,6,0,75,1690,52,3,6,28
"6"" #42 Homestyle Chicken Salad",410,18,4,0,55,790,42,3,5,21
"6"" #99 Homerun Ham",510,24,8,0,65,1350,45,2,6,28
"6"" B.L.T.",370,15,5,0,35,730,42,2,5,18
"6"" Baja Chipotle Chicken",490,21,5,0,65,1200,50,3,6,25
"6"" Baja Chipotle Turkey",510,24,8,1,60,1490,49,3,5,24
"6"" Big Hot Pastrami",510,27,9,0,80,1810,43,2,5,28
"6"" Black Forest Ham",280,5,1,0,30,850,42,4,7,19
"6"" Buffalo Chicken with Grilled Chicken",390,12,3,0,55,1390,44,3,5,25
"6"" Cold Cut Combo",330,10,3,0,45,1010,43,3,5,17
"6"" Grilled Chicken",300,5,1,0,50,570,40,4,6,26
"6"" Meatball Marinara",460,20,8,0,40,1130,52,4,7,20
"6"" Oven Roasted Turkey",270,4,1,0,25,810,40,4,6,20
"6"" Oven Roasted Turkey and Ham",280,4,1,0,25,830,41,4,7,20
"6"" Pizza Sub",470,24,11,1,60,1510,46,3,6,19
"6"" Roast Beef",300,4,1,0,35,780,42,4,7,25
"6"" Rotisserie-Style Chicken",310,6,2,0,50,750,40,4,6,24
"6"" Steak with American Cheese",370,10,5,0,65,1050,42,2,4,26
"6"" Tuna",480,25,5,0,40,700,42,3,5,20
"6"" Veggie Delite",220,3,1,0,0,360,40,4,6,10
"6"" Veggie Patty",390,12,2,0,0,680,57,12,8,16
Kids Mini Black Forest Ham,180,3,1,0,15,480,28,3,4,11
Kids Mini Oven Roasted Turkey,170,3,0,0,15,470,27,3,4,12
Kids Mini Veggie Delite,140,2,0,0,0,240,27,3,4,6
#1 The Philly Wrap,700,33,11,1,140,1830,55,3,6,46
#10 All-American Club Wrap,760,39,13,1,120,2220,57,3,9,44
#11 Subway Club Wrap,690,30,9,1,125,2300,58,3,9,48
#16 All-Pro Sweet Onion Chicken Wrap,620,16,6,0,120,1690,76,3,27,45
#18 The Ultimate B.M.T. Wrap,820,48,17,1,125,2430,58,3,7,40
#20 Elite Chicken & Bacon Ranch Wrap,830,42,14,1,170,1850,56,3,7,56
#21 Honey Mustard BBQ Chicken Wrap,680,27,9,0,135,1800,63,4,14,46
#22 Spicy Nacho Chicken Wrap,610,24,5,0,115,1730,59,3,6,40
#23 The Hotshot Italiano Wrap,950,63,23,1,145,2710,57,3,6,39
#31 Cheesy Garlic Steak Wrap,700,30,8,0,125,1690,61,3,7,44
"#40 Turkey, Bacon & Sliced Avocado Wrap",790,41,13,1,120,1970,58,5,8,48
"#40 Turkey, Bacon & Smashed Avocado Wrap",820,44,13,1,120,2090,59,6,8,48
#42 Homestyle Chicken Salad Wrap,670,36,7,0,105,1250,53,3,6,35
#45 Honey Mustard Chicken Wrap,650,27,9,0,135,1530,57,3,8,46
B.L.T. Wrap,610,31,10,0,70,1130,53,3,7,29
Big Hot Pastrami Wrap,850,50,15,0,150,2780,55,3,7,47
Black Forest Ham Wrap,430,9,2,0,55,1430,57,3,8,29
Buffalo Chicken Wrap with Grilled Chicken,540,17,4,0,110,1660,55,3,7,43
Cold Cut Combo Wrap,520,21,5,0,95,1680,54,3,6,28
Grilled Chicken Wrap,460,9,2,0,100,860,53,3,7,42
