Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size,Protein Calories,Fat Calories,Sugar Calories,Calculated Total Calories,Calorie Difference,Percentage Difference
Grilled Breakfast Filet,60.0,1.0,0.0,0.0,40.0,420.0,0.0,0.0,0.0,13,Chick-Fil-A,21.666666666666668,['Chicken'],,52,9.0,0.0,61.0,1.0,0.0166666666666666
Tomatoes,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Subway,20.0,['Other'],,4,0.0,0.0,4.0,-1.0,-0.2
Sweet Onion Teriyaki Sauce,30.0,0.0,0.0,0.0,0.0,0.0,130.0,7.0,0.0,6,Subway,20.0,"['Beverage', 'Side']",,24,0.0,0.0,24.0,-6.0,-0.2
BBQ Sauce,25.0,0.0,0.0,0.0,0.0,0.0,115.0,6.0,0.0,5,Subway,20.0,['Side'],,20,0.0,0.0,20.0,-5.0,-0.2
"Kids Grilled Nuggets, 5 ct",80.0,2.0,0.0,0.0,55.0,270.0,1.0,0.0,0.0,16,Chick-Fil-A,20.0,['Chicken'],,64,18.0,0.0,82.0,2.0,0.025
"Grilled Nuggets, 5 ct",80.0,2.0,0.0,0.0,55.0,270.0,1.0,0.0,0.0,16,Chick-Fil-A,20.0,['Chicken'],,64,18.0,0.0,82.0,2.0,0.025
"Grilled Nuggets, 8 ct",130.0,3.0,0.5,0.0,85.0,440.0,1.0,0.0,1.0,25,Chick-Fil-A,19.230769230769234,['Chicken'],,100,27.0,4.0,131.0,1.0,0.0076923076923076
"Grilled Nuggets, 30 ct",510.0,11.0,3.0,0.0,335.0,1710.0,4.0,1.0,3.0,98,Chick-Fil-A,19.215686274509807,['Chicken'],,392,99.0,12.0,503.0,-7.0,-0.0137254901960784
Grilled Filet,110.0,2.0,0.0,0.0,70.0,370.0,1.0,0.0,1.0,21,Chick-Fil-A,19.090909090909093,['Chicken'],,84,18.0,4.0,106.0,-4.0,-0.0363636363636363
"Grilled Nuggets, 12 ct",200.0,4.5,1.0,0.0,130.0,660.0,2.0,0.0,1.0,38,Chick-Fil-A,19.0,"['Chicken', 'Combo']",,152,40.5,4.0,196.5,-3.5,-0.0175
Applesauce,70.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,13,Subway,18.571428571428573,['Side'],,52,0.0,12.0,64.0,-6.0,-0.0857142857142857
"Chick-fil-A Cool Wrap Tray, Medium",170.0,7.0,2.0,0.0,45.0,450.0,15.0,6.0,1.0,21,Chick-Fil-A,12.352941176470589,"['Chicken', 'Side', 'Wrap']",Medium,84,63.0,4.0,151.0,-19.0,-0.1117647058823529
"Chick-fil-A Cool Wrap Tray, Small",170.0,7.0,2.0,0.0,45.0,450.0,15.0,6.0,1.0,21,Chick-Fil-A,12.352941176470589,"['Chicken', 'Side', 'Wrap']",Small,84,63.0,4.0,151.0,-19.0,-0.1117647058823529
"Chick-fil-A Cool Wrap Tray, Large",170.0,7.0,2.0,0.0,45.0,450.0,15.0,6.0,1.0,21,Chick-Fil-A,12.352941176470589,"['Chicken', 'Side', 'Wrap']",Large,84,63.0,4.0,151.0,-19.0,-0.1117647058823529
"Spicy Cool Wrap Tray, Large",170.0,7.0,2.0,0.0,40.0,630.0,15.0,7.0,2.0,20,Chick-Fil-A,11.76470588235294,"['Chicken', 'Side', 'Wrap']",Large,80,63.0,8.0,151.0,-19.0,-0.1117647058823529
"Spicy Cool Wrap Tray, Medium",170.0,7.0,2.0,0.0,40.0,630.0,15.0,7.0,2.0,20,Chick-Fil-A,11.76470588235294,"['Chicken', 'Side', 'Wrap']",Medium,80,63.0,8.0,151.0,-19.0,-0.1117647058823529
"Spicy Cool Wrap Tray, Small",170.0,7.0,2.0,0.0,40.0,630.0,15.0,7.0,2.0,20,Chick-Fil-A,11.76470588235294,"['Chicken', 'Side', 'Wrap']",Small,80,63.0,8.0,151.0,-19.0,-0.1117647058823529
"Hash Brown Scramble Bowl with Grilled Filet, No Hash Browns",270.0,16.0,7.0,0.0,420.0,980.0,2.0,1.0,2.0,30,Chick-Fil-A,11.11111111111111,"['Chicken', 'Breakfast', 'Combo']",,120,144.0,8.0,272.0,2.0,0.0074074074074074
"Chick-fil-A Nuggets, 8 ct",250.0,11.0,2.5,0.0,85.0,1210.0,11.0,0.0,1.0,27,Chick-Fil-A,10.8,['Chicken'],,108,99.0,4.0,211.0,-39.0,-0.156
"Catering, Chick-fil-A Nuggets, 8 ct",250.0,11.0,2.5,0.0,85.0,1210.0,11.0,0.0,1.0,27,Chick-Fil-A,10.8,['Chicken'],,108,99.0,4.0,211.0,-39.0,-0.156
